Marca temporal,Indique su institución,Indique la cantidad de Bibliotecas en su institución,"¿En su biblioteca existen software que dispongan de elementos asociados a la Inteligencia Artificial?. Por ejemplo: servicios de descubrimiento, chats.",¿Se tienen planes a futuro para la implementación de IA en su biblioteca?,¿Estima posible la implementación de la IA en las bibliotecas universitarias actualmente? ,¿Qué aspectos considera que son relevantes en la implementación de IA en su biblioteca?. Puede seleccionar más de una.,"Tomando en consideración aspectos como la atención al usuario, los servicios de la biblioteca, mejora de procesos internos de las bibliotecas, los trabajadores de las bibliotecas, entre otros. ¿Qué impacto cree que generaría la implementación de IA dentro de las  bibliotecas?. Puede seleccionar más de una.",¿Qué nuevas tecnologías basadas en IA ha implementado o considera implementar en su biblioteca?. Puede seleccionar más de una.,"Entendiendo el aprendizaje automático como un tipo de IA que proporciona a las computadoras la capacidad de aprender, sin ser programadas explícitamente. ¿Usa o usaría está herramienta en su biblioteca para realizar labores propias de esta tales como: desarrollar las colecciones, recuperar información, agregar metadatos?",Ha adoptado o adoptaría alguna de las siguientes tecnologías en su biblioteca. Puede seleccionar más de una,"Tomando en consideración los próximos 10 años, ¿qué impacto tendría la IA en alguno de los siguientes aspectos de su biblioteca? ( Considere que 1 es poco impacto y 5 alto impacto) [Internet de las cosas]","Tomando en consideración los próximos 10 años, ¿qué impacto tendría la IA en alguno de los siguientes aspectos de su biblioteca? ( Considere que 1 es poco impacto y 5 alto impacto) [Acceso Abierto]","Tomando en consideración los próximos 10 años, ¿qué impacto tendría la IA en alguno de los siguientes aspectos de su biblioteca? ( Considere que 1 es poco impacto y 5 alto impacto) [Software Libre]","Tomando en consideración los próximos 10 años, ¿qué impacto tendría la IA en alguno de los siguientes aspectos de su biblioteca? ( Considere que 1 es poco impacto y 5 alto impacto) [Política Nacional sobre avances tecnológicos (como la IA)]","Tomando en consideración los próximos 10 años, ¿qué impacto tendría la IA en alguno de los siguientes aspectos de su biblioteca? ( Considere que 1 es poco impacto y 5 alto impacto) [Asesores virtuales para estudiantes]","Tomando en consideración los próximos 10 años, ¿qué impacto tendría la IA en alguno de los siguientes aspectos de su biblioteca? ( Considere que 1 es poco impacto y 5 alto impacto) [Protección de datos personales]","Tomando en consideración los próximos 10 años, ¿qué impacto tendría la IA en alguno de los siguientes aspectos de su biblioteca? ( Considere que 1 es poco impacto y 5 alto impacto) [Privacidad de la información]","Tomando en consideración los próximos 10 años, ¿qué impacto tendría la IA en alguno de los siguientes aspectos de su biblioteca? ( Considere que 1 es poco impacto y 5 alto impacto) [Derechos de autor]","Tomando en consideración los próximos 10 años, ¿qué impacto tendría la IA en alguno de los siguientes aspectos de su biblioteca? ( Considere que 1 es poco impacto y 5 alto impacto) [Recursos educacionales de acceso abierto a través de internet]","Tomando en consideración los próximos 10 años, ¿qué impacto tendría la IA en alguno de los siguientes aspectos de su biblioteca? ( Considere que 1 es poco impacto y 5 alto impacto) [Inteligencia artificial]","Tomando en consideración los próximos 10 años, ¿qué impacto tendría la IA en alguno de los siguientes aspectos de su biblioteca? ( Considere que 1 es poco impacto y 5 alto impacto) [Humanidades digitales]",¿Considera que su biblioteca está preparada para los cambios que podría traer el avance de la tecnología de IA?,"Considerando lo anterior ¿ante los constantes y acelerados avances en la tecnología y los modelos de IA, piensa que es posible capacitar al equipo de la biblioteca en sus usos?",¿Considera usted que sistemas automatizados o máquinas inteligentes pueden reemplazar a los equipos de biblioteca?,¿Según su percepción que desventajas o aspectos desfavorables podría traer a su biblioteca las nuevas tecnologías de IA?," ¿Qué reflexión tiene acerca de las bibliotecas con respecto a la Inteligencia Artificial y su proyección futura? Considerando aspectos tales como, usuarios, tecnologías en uso, políticas públicas, tecnologías de IA, recursos económicos, servicios brindados, bibliotecarios. "
15/6/2022 10:18:43,UMCE,"9",Sí existen,No,Sí,"Aspectos económicos, Recursos humanos, Políticas institucionales","Mejoras en la atención al usuario., Satisfacción de los usuarios en los servicios.","Servicios de descubrimiento con asistentes inteligentes, Servicios de ayuda al estudiante vía chat. (chatbots), Autopréstamos/autoservicio, Catalogación/clasificación automatizada","Sí, estoy dispuesta/o a usarla.","Reconocimiento de voz., Minería de Datos, Auto-Préstamos de material bibliográfico., Chatbots",3,3,3,5,4,4,5,5,4,4,4,Sí,"Sí, pienso que es posible capacitar al personal.","No, el servicio dado por personas es irremplazable.",Impacto en el estamento docente poco familiarizado con los cambios tecnológicos,"Es un desarrollo que no se detendrá, y todos los organismos educacionales ya deberían iniciar los procesos de planificación para implementar a corto y largo plazo esta tecnología"
15/6/2022 11:06:28,UPLA,6,Sí existen,Sí,Sí,"Recursos humanos, Políticas institucionales, Políticas públicas","Mejora de procesos internos de las bibliotecas., Satisfacción de los usuarios en los servicios.","Servicios de ayuda al estudiante vía chat. (chatbots), Autopréstamos/autoservicio","Sí, estoy dispuesta/o a usarla.","Reconocimiento de voz., Aplicaciones de realidad aumentada., Chatbots",4,5,5,5,5,5,5,5,5,5,5,Sí,"Sí, pienso que es posible capacitar al personal.","No, el servicio dado por personas es irremplazable.","Sólo al principio , temor a que la atención personal sea reemplazada, pero explicando muy bien los beneficios es un aporte.","Quienes trabajamos en bibliotecas tenemos que abrir nuestras mentes a los cambios. Debemos pensar en la tecnología como una ayuda invaluable, no como una amenaza. Los tiempos que vivimos donde los cambios son vertiginosos, deben enseñarnos que nuestras instituciones, nuestra comunidad usuaria y nuestros equipos, se verán beneficiados con ella."
15/6/2022 16:48:02,UCN,3,Sí existen,Sí,No,"Aspectos económicos, Recursos humanos","Mejoras en la atención al usuario., Satisfacción de los usuarios en los servicios.","Servicios de descubrimiento con asistentes inteligentes, Servicios de ayuda al estudiante vía chat. (chatbots), Sistemas de recomendación","Sí, estoy dispuesta/o a usarla.","Inteligencia Artificial / Aprendizaje automático., Reconocimiento de voz., Aplicaciones de realidad aumentada., Minería de Datos, Gamificación de la experiencia bibliotecaria., Chatbots",4,3,4,5,5,4,4,3,3,5,4,Sí,"Sí, pienso que es posible capacitar al personal.","Sí, aunque será un cambio paulatino.",Ventaja: Permite mejorar la autonomía de los servicios y extender su disponibilidad. Desventaja: Requiere de una plataforma que lo sostenga y personal que lo pueda mantener,"Como toda herramienta tecnológica el impacto de esta depende de varios factores, que van desde la implementación. configuración, utilidad, facilidad de uso y difusión. Cada uno de estos elementos deben estar bien cubiertos de manera que la implementación de dicha tecnología tenga un impacto útil para la biblioteca."
16/6/2022 9:10:47,UMAG,5,No existen,Sí,Sí,"Aspectos económicos, Recursos humanos, Políticas institucionales","Mejoras en la atención al usuario., Mejora de procesos internos de las bibliotecas., Mejoras en los flujos de trabajo., Satisfacción de los usuarios en los servicios.",Servicios de ayuda al estudiante vía chat. (chatbots),"No, no me parece adecuado.","Reconocimiento de voz., Minería de Datos, Auto-Préstamos de material bibliográfico.",4,5,5,5,5,5,5,5,5,5,5,No,"Sí, pienso que es posible capacitar al personal.","No, el servicio dado por personas es irremplazable.",,
16/6/2022 10:24:53,UCH,48,Sí existen,Sí,Sí,"Aspectos económicos, Recursos humanos, Políticas institucionales, Políticas públicas, Aspectos éticos","Mejoras en la atención al usuario., Satisfacción de los usuarios en los servicios.","Servicios de descubrimiento con asistentes inteligentes, Robótica, Servicios de ayuda al estudiante vía chat. (chatbots), Sistemas de recomendación","Sí, estoy dispuesta/o a usarla.","Reconocimiento de voz., Minería de Datos, Chatbots",5,4,4,5,5,5,5,4,4,5,3,Sí,"Sí, pienso que es posible capacitar al personal.","No, el servicio dado por personas es irremplazable.","No veo mayores desventajas, sino ventajas que lo bibliotecarios debemos saber aprovechar",Considero que es una importante posibilidad para las bibliotecas que puedan entregar mejores servicios y adaptados a las necesidades de los usuarios. Además trae consigo una importante modernización de los servicios y favorece la utilización de equipos en trabajo en otras actividades.
16/6/2022 11:15:30,UV ,14,Sí existen,Sí,Sí,"Aspectos económicos, Recursos humanos, Aspectos éticos, Aspectos jurídicos ","Mejoras en la atención al usuario., Mejora de procesos internos de las bibliotecas., Satisfacción de los usuarios en los servicios.","Servicios de descubrimiento con asistentes inteligentes, Servicios de ayuda al estudiante vía chat. (chatbots), Autopréstamos/autoservicio, Catalogación/clasificación automatizada, Sistemas de recomendación, Servicios descarte","Sí, estoy dispuesta/o a usarla.","Inteligencia Artificial / Aprendizaje automático., Aplicaciones de realidad aumentada., Auto-Préstamos de material bibliográfico., Gamificación de la experiencia bibliotecaria., Chatbots",5,5,3,5,5,5,5,5,5,5,5,No,"Sí, pienso que es posible capacitar al personal.","No, el servicio dado por personas es irremplazable.",Aspectos éticos ,
16/6/2022 13:24:04,UDEC,13,Sí existen,Sí,Sí,"Aspectos económicos, Recursos humanos","Mejoras en la atención al usuario., Mejora de procesos internos de las bibliotecas., Mejoras en los flujos de trabajo., Satisfacción de los usuarios en los servicios.","Servicios de descubrimiento con asistentes inteligentes, Autopréstamos/autoservicio, Catalogación/clasificación automatizada, Sistemas de recomendación","Sí, estoy dispuesta/o a usarla.","Minería de Datos, Otros avances tecnológicos.",5,5,5,5,5,5,5,5,5,5,No aplica,Sí,"Sí, pienso que es posible capacitar al personal.","Sí, aunque será un cambio paulatino.","La poca interacción con personas, con usuarios autosuficientes.","Acceso abierto a la información, servicios automatizados con información y búsquedas basados en criterios algorítmicos. "
16/6/2022 13:31:12,UTA,5,No existen,Sí,Sí,"Aspectos económicos, Recursos humanos, Políticas institucionales, Políticas públicas, Aspectos éticos","Mejoras en la atención al usuario., Mejora de procesos internos de las bibliotecas., Mejoras en los flujos de trabajo., Satisfacción de los usuarios en los servicios.","Servicios de descubrimiento con asistentes inteligentes, Autopréstamos/autoservicio","Sí, estoy dispuesta/o a usarla.",Auto-Préstamos de material bibliográfico.,5,5,5,5,2,5,5,5,5,5,No aplica,Sí,"Sí, pienso que es posible capacitar al personal.",Sin duda  las personas son irremplazable  pero es necesario incluir  los sistemas automatizado como se ha hecho  cuando hubo que trabajar desde lo manual (con fichas catalográficas) hasta los sistemas automatizados,Rapidez en los procesos,Se requiere una planificación para incluir la IA  y la capacitación es importante para todos los involucrados. Los temas de presupuesto es necesario y alinear al personal  también para el logro de los objetivos.
16/6/2022 15:34:01,UAysen,2,Sí existen,Sí,Sí,"Recursos humanos, Políticas institucionales","Mejoras en la atención al usuario., Mejora de procesos internos de las bibliotecas., Mejoras en los flujos de trabajo., Satisfacción de los usuarios en los servicios.","Servicios de ayuda al estudiante vía chat. (chatbots), Catalogación/clasificación automatizada","Sí, estoy dispuesta/o a usarla.","Inteligencia Artificial / Aprendizaje automático., Reconocimiento de voz., Aplicaciones de realidad aumentada., Minería de Datos, Auto-Préstamos de material bibliográfico., Gamificación de la experiencia bibliotecaria., Chatbots, Otros avances tecnológicos.",5,5,5,5,5,5,5,5,5,3,3,No,"Sí, pienso que es posible capacitar al personal.","Si, pero no lo considero un cambio excluyente","Solo el cambio de percepción de la IA como una herramienta de reemplazo, pero para disponer del recurso humano para otras actividades y desarrollar una mejor experiencia del usuario, por ejemplo dedicar más tiempo al servicio de referencia de una manera más individual y focalizarla a tipos de usuario. Lidiar con esa apaptación y resistencia al cambio es lo desfavorable.","Creo que en el mundo actual se han desarrollado multiples acciones y casos de exito  que la Biblioteca debe replicar y poner en práctica, sobretodo por lo alcanzable de estas soluciones por ejemplo el caso de las tienda autoservicio 24/7"
17/6/2022 15:09:04,UAH,2,Sí existen,Sí,Sí,"Aspectos económicos, Políticas institucionales, Aspectos éticos","Mejoras en la atención al usuario., Mejora de procesos internos de las bibliotecas., Mejoras en los flujos de trabajo., Satisfacción de los usuarios en los servicios.","Servicios de descubrimiento con asistentes inteligentes, Servicios de ayuda al estudiante vía chat. (chatbots), Autopréstamos/autoservicio, Sistemas de recomendación","Sí, estoy dispuesta/o a usarla.","Minería de Datos, Auto-Préstamos de material bibliográfico., Chatbots",4,5,5,5,3,5,5,5,4,5,5,Sí,"Sí, pienso que es posible capacitar al personal.","Sí, aunque será un cambio paulatino.","Creo que una de las desventajas que visualizo se relaciona con la resistencia al cambio de parte de los trabajadores de bibliotecas, sobre todo si sienten amenazados sus puestos laborales con esta tecnología.","Considero que la inteligencia artificial es un gran aporte al trabajo desarrollado en Bibliotecas, sin embargo, creo que se requieren políticas y leyes que puedan garantizar su uso ético y por sobre todo la protección de datos personales."
19/6/2022 19:17:38,ULagos,8,Sí existen,Sí,Sí,Recursos humanos,"Mejoras en la atención al usuario., Mejoras en los flujos de trabajo., Satisfacción de los usuarios en los servicios.","Servicios de descubrimiento con asistentes inteligentes, Servicios de ayuda al estudiante vía chat. (chatbots), Autopréstamos/autoservicio, Sistemas de recomendación","Sí, estoy dispuesta/o a usarla.","Aplicaciones de realidad aumentada., Auto-Préstamos de material bibliográfico., Gamificación de la experiencia bibliotecaria.",3,5,5,5,4,5,5,5,5,5,5,Sí,"Sí, pienso que es posible capacitar al personal.","No reemplazar a los equipos, el concepto es remplazar las actuales funciones, para permitir a los equipos asumir nuevas funciones.","No existen desventajas en la medida que la tecnología se integre de manera profesional, considerando marcos de seguridad de datos, confidencialidad de usos y estricto control de manipulación de la información ","Las bibliotecas son organizaciones privilegiadas respeto a la implementación de la IA que deben incorporar en forma paulatina pero permanente a las funciones propias, esto conlleva mejora en los servicios, definición de nuevas funciones a los equipos como es la generación de redes internas que permitan aumentar la normalización de la producción científica, desarrollar el acceso abierto entre otras."
24/6/2022 8:28:27,USerena,5,No existen,Sí,Sí,"Aspectos económicos, Recursos humanos, Aspectos éticos, Factibilidad técnica (Esta opción debería estar en las opciones múltiples es condición en cualquier proyecto) ","Satisfacción de los usuarios en los servicios., Mejora en la percepción de los usuarios; Redistribución de trabajos","Servicios de ayuda al estudiante vía chat. (chatbots), Sistemas de recomendación","Sí, estoy dispuesta/o a usarla.","Aplicaciones de realidad aumentada., Chatbots, Otros avances tecnológicos.",5,No aplica,No aplica,No aplica,5,No aplica,No aplica,No aplica,No aplica,5,5,Sí,"Sí, pienso que es posible capacitar al personal.",Reemplazarán funciones algunos trabajos clásicos deberán adaptarse el concepto IA es aún discutido pero si investigamos más sobre la materia el impacto mayor lo tendra todos los elementos que se puedan agrupar en inteligencia aumentada la adaptación al cambio es fundamental. Existen informes a 10 años plazos de la UNESCO sobre la tematica,Niveles diferenciados al principio pues los usuarios no tienen la misma base de uso incorporado al aprendizaje como se infiere en un principio. Las desventajas estarán mediadas por las amenazas,Se debe avanzar en su implementación e iniciar un transformación cultural de quienes trabajan y usan las biblioteca para permitir aprovechar la transformación digital en nuestro beneficio. la IA es un concepto antiguo con mayor desarrollo en la ultima decada pero aún incipiente
24/6/2022 15:14:25,UCT,4,Sí existen,Sí,Sí,"Aspectos económicos, Recursos humanos, Políticas institucionales, Aspectos éticos","Mejoras en la atención al usuario., Mejora de procesos internos de las bibliotecas., Mejoras en los flujos de trabajo., Satisfacción de los usuarios en los servicios.","Servicios de descubrimiento con asistentes inteligentes, Servicios de ayuda al estudiante vía chat. (chatbots), Autopréstamos/autoservicio","Sí, estoy dispuesta/o a usarla.","Inteligencia Artificial / Aprendizaje automático., Aplicaciones de realidad aumentada., Minería de Datos, Auto-Préstamos de material bibliográfico., Gamificación de la experiencia bibliotecaria., Chatbots",5,5,3,5,4,5,5,3,4,5,5,No,"Sí, pienso que es posible capacitar al personal.","No, el servicio dado por personas es irremplazable.",Resistencia al cambio por parte de las personas.,"La IA impulsaría la personalización de los servicios, según necesidades o intereses y obtención de datos para la mejor toma de decisiones. "
29/6/2022 14:21:22,UACH,5,No existen,Sí,Sí,"Aspectos económicos, Recursos humanos","Mejoras en la atención al usuario., Mejora de procesos internos de las bibliotecas.","Servicios de descubrimiento con asistentes inteligentes, Servicios de ayuda al estudiante vía chat. (chatbots), Autopréstamos/autoservicio, Catalogación/clasificación automatizada","Sí, estoy dispuesta/o a usarla.","Inteligencia Artificial / Aprendizaje automático., Aplicaciones de realidad aumentada., Minería de Datos, Auto-Préstamos de material bibliográfico., Chatbots",5,3,3,5,4,5,5,4,5,5,5,Sí,"Sí, pienso que es posible capacitar al personal.","No, el servicio dado por personas es irremplazable.",Deshumanización de algunos servicios,